2025-04-07 20:05:33 status unpacked libcap2:amd64 1:2.75-4
2025-04-07 20:05:33 status half-configured libcap2:amd64 1:2.75-4
2025-04-07 20:05:33 status installed libcap2:amd64 1:2.75-4
2025-04-07 20:05:33 startup archives unpack
2025-04-07 20:05:33 install libelf1t64:amd64 <none> 0.192-4
2025-04-07 20:05:33 status half-installed libelf1t64:amd64 0.192-4
2025-04-07 20:05:33 status unpacked libelf1t64:amd64 0.192-4
2025-04-07 20:05:33 install libbpf1:amd64 <none> 1:1.5.0-2
2025-04-07 20:05:33 status half-installed libbpf1:amd64 1:1.5.0-2
2025-04-07 20:05:33 status unpacked libbpf1:amd64 1:1.5.0-2
2025-04-07 20:05:33 install libmnl0:amd64 <none> 1.0.5-3
2025-04-07 20:05:33 status half-installed libmnl0:amd64 1.0.5-3
2025-04-07 20:05:33 status unpacked libmnl0:amd64 1.0.5-3
2025-04-07 20:05:33 install libtirpc-common:all <none> 1.3.6+ds-1
2025-04-07 20:05:33 status half-installed libtirpc-common:all 1.3.6+ds-1
2025-04-07 20:05:33 status unpacked libtirpc-common:all 1.3.6+ds-1
2025-04-07 20:05:33 install libtirpc3t64:amd64 <none> 1.3.6+ds-1
2025-04-07 20:05:33 status half-installed libtirpc3t64:amd64 1.3.6+ds-1
2025-04-07 20:05:33 status unpacked libtirpc3t64:amd64 1.3.6+ds-1
2025-04-07 20:05:33 install libxtables12:amd64 <none> 1.8.11-2
2025-04-07 20:05:33 status half-installed libxtables12:amd64 1.8.11-2
2025-04-07 20:05:33 status unpacked libxtables12:amd64 1.8.11-2
2025-04-07 20:05:33 install libcap2-bin:amd64 <none> 1:2.75-4
2025-04-07 20:05:33 status half-installed libcap2-bin:amd64 1:2.75-4
2025-04-07 20:05:33 status unpacked libcap2-bin:amd64 1:2.75-4
2025-04-07 20:05:34 install iproute2:amd64 <none> 6.14.0-1
2025-04-07 20:05:34 status half-installed iproute2:amd64 6.14.0-1
2025-04-07 20:05:34 status unpacked iproute2:amd64 6.14.0-1
2025-04-07 20:05:34 install libpam-cap:amd64 <none> 1:2.75-4
2025-04-07 20:05:34 status half-installed libpam-cap:amd64 1:2.75-4
2025-04-07 20:05:34 status unpacked libpam-cap:amd64 1:2.75-4
2025-04-07 20:05:34 startup packages configure
2025-04-07 20:05:34 configure libtirpc-common:all 1.3.6+ds-1 <none>
2025-04-07 20:05:34 status unpacked libtirpc-common:all 1.3.6+ds-1
2025-04-07 20:05:34 status half-configured libtirpc-common:all 1.3.6+ds-1
2025-04-07 20:05:34 status installed libtirpc-common:all 1.3.6+ds-1
2025-04-07 20:05:34 configure libelf1t64:amd64 0.192-4 <none>
2025-04-07 20:05:34 status unpacked libelf1t64:amd64 0.192-4
2025-04-07 20:05:34 status half-configured libelf1t64:amd64 0.192-4
2025-04-07 20:05:34 status installed libelf1t64:amd64 0.192-4
2025-04-07 20:05:34 configure libcap2-bin:amd64 1:2.75-4 <none>
2025-04-07 20:05:34 status unpacked libcap2-bin:amd64 1:2.75-4
2025-04-07 20:05:34 status half-configured libcap2-bin:amd64 1:2.75-4
2025-04-07 20:05:34 status installed libcap2-bin:amd64 1:2.75-4
2025-04-07 20:05:34 configure libmnl0:amd64 1.0.5-3 <none>
2025-04-07 20:05:34 status unpacked libmnl0:amd64 1.0.5-3
